state,eq_declarations,eq_county_rows,eq_ia_rate,eq_pa_rate,eq_hm_rate,eq_ia_activations,eq_pa_activations,eq_hm_activations,earliest_eq_yr,latest_eq_yr,total_declarations,total_ia,total_pa,eq_share_pct,sri
CA,14,32,0.78125,0.90625,0.21875,25,29,7,1971,2023,392,623,1600,3.571,0.6852
PR,2,112,0.0,0.8214285714285714,0.30357142857142855,0,92,34,2020,2020,51,681,2024,3.922,0.5335
WA,2,30,0.9333333333333333,0.7,0.1,28,21,3,1965,2001,213,334,1005,0.939,0.4373
NV,1,1,1.0,1.0,1.0,1,1,1,1954,1954,110,21,288,0.909,0.4
HI,4,7,0.5714285714285714,1.0,0.7142857142857143,4,7,5,1960,2006,71,27,110,5.634,0.3909
AK,4,13,0.23076923076923078,1.0,0.7692307692307693,3,13,10,1964,2019,93,37,350,4.301,0.3417
ID,1,3,0.6666666666666666,1.0,0.0,2,3,0,1983,1983,59,114,359,1.695,0.3396
OR,2,5,0.0,1.0,0.0,0,5,0,1993,1993,166,121,620,1.205,0.2318
NY,1,6,1.0,0.0,1.0,6,0,6,2002,2002,118,314,1460,0.847,0.2158
AS,1,5,0.0,1.0,0.8,0,5,4,2009,2009,17,40,71,5.882,0.2126
GU,1,1,0.0,1.0,1.0,0,1,1,2001,2001,23,10,23,4.348,0.2
DC,1,1,0.0,1.0,1.0,0,1,1,2011,2011,24,2,24,4.167,0.2
VA,1,10,0.0,0.5,1.0,0,5,10,2011,2011,77,655,2606,1.299,0.1284
UT,1,2,0.0,0.5,1.0,0,1,2,2020,2020,56,12,258,1.786,0.1032
