state,total_declarations,county_declarations,ia_activations,pa_activations,hm_activations,ia_rate,pa_rate,hm_rate,span_years,declarations_per_year,usgs_events,avg_magnitude,max_magnitude,m5plus_count,sri,eq_share_pct
CA,14,32,25,29,7,0.78125,0.90625,0.21875,53,0.604,468.0,3.2680982905982905,7.8,17.0,0.6852,3.571
PR,2,112,0,92,34,0.0,0.8214285714285714,0.30357142857142855,1,112.0,0.0,0.0,0.0,0.0,0.5335,3.922
WA,2,30,28,21,3,0.9333333333333333,0.7,0.1,37,0.811,146.0,3.2697945205479453,6.93,5.0,0.4373,0.939
NV,1,1,1,1,1,1.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.4,0.909
HI,4,7,4,7,5,0.5714285714285714,1.0,0.7142857142857143,47,0.149,0.0,0.0,0.0,0.0,0.3909,5.634
AK,4,13,3,13,10,0.23076923076923078,1.0,0.7692307692307693,56,0.232,7042.0,3.2789392218119855,9.0,264.0,0.3417,4.301
ID,1,3,2,3,0,0.6666666666666666,1.0,0.0,1,3.0,177.0,3.244237288135593,8.18,7.0,0.3396,1.695
OR,2,5,0,5,0,0.0,1.0,0.0,1,5.0,141.0,3.273617021276596,5.75,2.0,0.2318,1.205
NY,1,6,6,0,6,1.0,0.0,1.0,1,6.0,0.0,0.0,0.0,0.0,0.2158,0.847
AS,1,5,0,5,4,0.0,1.0,0.8,1,5.0,0.0,0.0,0.0,0.0,0.2126,5.882
GU,1,1,0,1,1,0.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.2,4.348
DC,1,1,0,1,1,0.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.2,4.167
VA,1,10,0,5,10,0.0,0.5,1.0,1,10.0,0.0,0.0,0.0,0.0,0.1284,1.299
UT,1,2,0,1,2,0.0,0.5,1.0,1,2.0,108.0,3.4748148148148146,8.57,9.0,0.1032,1.786
