state,incidentType,declarations,county_rows,ia_activations,pa_activations,ia_rate,pa_rate,state_total,disaster_share_pct,ia_per_declaration
WA,Earthquake,2,30,28,21,0.9333333333333333,0.7,213,0.94,14.0
CA,Earthquake,14,32,25,29,0.78125,0.90625,392,3.57,1.786
HI,Earthquake,4,7,4,7,0.5714285714285714,1.0,71,5.63,1.0
AK,Earthquake,4,13,3,13,0.23076923076923078,1.0,93,4.3,0.75
ID,Earthquake,1,3,2,3,0.6666666666666666,1.0,59,1.69,2.0
NV,Earthquake,1,1,1,1,1.0,1.0,110,0.91,1.0
AS,Earthquake,1,5,0,5,0.0,1.0,17,5.88,0.0
GU,Earthquake,1,1,0,1,0.0,1.0,23,4.35,0.0
OR,Earthquake,2,5,0,5,0.0,1.0,166,1.2,0.0
PR,Earthquake,2,112,0,92,0.0,0.8214285714285714,51,3.92,0.0
UT,Earthquake,1,2,0,1,0.0,0.5,56,1.79,0.0
