state,year,eq_declarations,county_rows,ia_activations,pa_activations,hm_activations,prev_county_rows,prev_ia_activations,yoy_decl_growth,yoy_ia_growth
AK,2002,1,6,2,6,6,,,,
AK,2018,1,3,0,3,0,6.0,2.0,-50.0,-100.0
AK,2019,1,3,0,3,3,3.0,0.0,0.0,0.0
AS,2009,1,5,0,5,4,,,,
CA,2000,1,1,1,0,1,,,,
CA,2004,1,2,1,2,2,1.0,1.0,100.0,0.0
CA,2010,1,1,0,1,1,2.0,1.0,-50.0,-100.0
CA,2014,1,2,0,2,2,1.0,0.0,100.0,0.0
CA,2019,1,2,0,2,0,2.0,0.0,0.0,0.0
CA,2023,1,1,0,1,1,2.0,0.0,-50.0,0.0
DC,2011,1,1,0,1,1,,,,
GU,2001,1,1,0,1,1,,,,
HI,2006,1,4,2,4,4,,,,
NY,2002,1,6,6,0,6,,,,
PR,2020,2,112,0,92,34,,,,
UT,2020,1,2,0,1,2,,,,
VA,2011,1,10,0,5,10,,,,
WA,2001,1,24,22,15,3,,,,
